Size of Dataset, 20000
Epsilon, 1.0
MinPoints, 5
InfoGain, 0.9994406176956876
Number of Clusters, 315
Distance Metric, Euclidean
Number of Buzz, 486.0
Percent Buzz, 0.0243
Number of NonBuzz, 19514.0
Percent NonBuzz, 0.9757
Parent Entropy, 0.16494651525786994
Weighted Entropy, 5.593823043123583E-4
Elapsed Time, 252
List of Clusters, Entropy, Average Core Distance, Size of Cluster
100, 0.0, 1.3410891010993498E-5, 10
101, 0.0, 0.2222271273647235, 27
102, 0.0, 5.437477868944566E-6, 11
103, 0.0, 2.3410971785314184E-6, 11
104, 0.0, 2.104072985827807E-5, 5
105, 0.0, 5.276435628482644E-6, 15
106, 0.0, 1.9002259169803183E-6, 8
107, 0.0, 0.1017921262365121, 4
108, 0.0, 9.337132850403242E-6, 4
109, 0.0, 0.2928250829251534, 7
110, 0.0, 0.17668864987981653, 10
111, 0.0, 5.473520170599288E-6, 13
112, 0.0, 2.4999999999999994E-7, 8
113, 0.0, 1.0, 1
114, 0.0, 9.332899976609958E-6, 5
115, 0.0, 2.1792174660015592E-6, 10
116, 0.0, 2.3027756377319947E-6, 2
117, 0.0, 1.0, 2
118, 0.0, 6.840169943749473E-7, 8
119, 0.0, 1.1380711874576986E-6, 3
120, 0.0, 2.8589879145480865E-5, 6
121, 0.0, 0.12856474079233376, 2
122, 0.0, 1.4422205101855958E-5, 1
123, 0.0, 9.848857801796103E-6, 2
124, 0.0, 1.0000000000000006E-6, 4
125, 0.0, 1.6957417329238151E-6, 5
126, 0.0, 0.0, 5
127, 0.0, 0.0064935454545454515, 11
128, 0.0, 0.08598214448542574, 5
129, 0.0, 1.6180339887498946E-6, 2
130, 0.0, 6.433536523743775E-6, 13
131, 0.0, 1.0, 1
132, 0.0, 0.17442029809090515, 22
133, 0.0, 0.0, 11
134, 0.0, 1.0898102144535212E-5, 14
135, 0.0, 1.7308608011890832E-6, 6
136, 0.0, 1.4285714285714285E-7, 7
137, 0.0, 2.1226201739791085E-5, 3
138, 0.0, 7.422970020972915E-7, 27
139, 0.0, 8.838834764831843E-8, 16
140, 0.0, 4.456568139225458E-5, 5
141, 0.0, 0.12837943573879684, 8
142, 0.0, 1.373679680334523E-5, 7
143, 0.0, 8.87431108313124E-6, 5
