Size of Dataset, 8000
Epsilon, 1.0
MinPoints, 5
InfoGain, 0.9987380575446448
Number of Clusters, 131
Distance Metric, Euclidean
Precision, 1.0
Recall, 1.0
Accuracy, 1.0
F-1, 1.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.001261942455355195
Elapsed Time, 36
List of Clusters, Entropy, Average Core Distance, Size of Cluster
104, 0.0, 0.3333405187005107, 3
105, 0.0, 1.0, 1
106, 0.0, 5.830951894845301E-6, 1
107, 0.0, 0.3535533906116585, 1
108, 0.0, 1.0, 3
109, 0.0, 8.608622898796025E-6, 5
110, 0.0, 0.0, 1
111, 0.0, 1.0, 1
112, 0.0, 2.7730849247724092E-5, 1
113, 0.0, 2.8284271247461907E-6, 1
114, 0.0, 0.1010158605492227, 2
115, 0.0, 1.0, 1
116, 0.0, 1.0000000000000006E-6, 1
117, 0.0, 0.25, 1
118, 0.0, 8.944271909999158E-6, 1
119, 0.0, 4.2426406871192865E-6, 1
120, 0.0, 5.385164807134503E-6, 1
121, 0.0, 0.0, 1
122, 0.0, 2.248679595416597E-5, 4
123, 0.0, 0.6666674120226591, 3
124, 0.0, 3.1622776601683796E-6, 1
125, 0.0, 1.0, 1
126, 0.0, 0.20203030687993326, 1
127, 0.0, 1.0, 1
128, 0.0, 0.0, 1
129, 0.0, 3.1622776601683796E-6, 1
130, 0.0, 2.555386467836128E-5, 1
