Size of Dataset, 8000
Epsilon, 0.5
MinPoints, 5
InfoGain, 0.9989278602105082
Number of Clusters, 178
Distance Metric, Manhattan
Precision, 0.0
Recall, 0.0
Accuracy, 0.797
F-1, 0.0
Parent Entropy, 0.7158873656827773
Weighted Entropy, 0.0010721397894918236
Elapsed Time, 25
List of Clusters, Entropy, Average Core Distance, Size of Cluster, Buzz, NonBuzz
160, 0.0, 3.000000000000001E-6, 1, 0.0, 1.0
161, 0.0, 4.000000000000001E-6, 1, 0.0, 1.0
162, 0.0, 2.4000000000000004E-5, 1, 0.0, 1.0
163, 0.0, 1.2E-5, 1, 0.0, 1.0
164, 0.0, 9.999999999999999E-6, 1, 0.0, 1.0
165, 0.0, 0.0, 1, 0.0, 1.0
166, 0.0, 7.0E-6, 2, 0.0, 2.0
167, 0.0, 1.35E-5, 2, 0.0, 2.0
168, 0.0, 3.5E-5, 1, 0.0, 1.0
169, 0.0, 0.0, 1, 0.0, 1.0
170, 0.0, 0.0, 1, 0.0, 1.0
171, 0.0, 3.9E-5, 1, 0.0, 1.0
172, 0.0, 3.0000000000000018E-6, 1, 0.0, 1.0
173, 0.0, 0.0, 1, 0.0, 1.0
174, 0.0, 3.4999999999999995E-6, 2, 0.0, 2.0
175, 0.0, 2.0E-5, 1, 0.0, 1.0
176, 0.0, 1.0000000000000006E-6, 1, 0.0, 1.0
177, 0.0, 3.5000000000000004E-5, 1, 0.0, 1.0
